DÍA 	     (X) 	       (Y) 	      (Z) 	      (VX) 	       (VY) 	      (VZ) 
247.359863 	 1.148638 	 -0.089585 	 -0.042359 	 0.639894 	 5.281736 	 2.271712 
248.345352 	 1.150366 	 -0.075324 	 -0.036225 	 0.559997 	 5.287967 	 2.274659 
249.330841 	 1.151878 	 -0.061047 	 -0.030083 	 0.480083 	 5.293200 	 2.277175 
250.316330 	 1.153174 	 -0.046755 	 -0.023935 	 0.400166 	 5.297435 	 2.279262 
251.301819 	 1.154254 	 -0.032452 	 -0.017781 	 0.320258 	 5.300675 	 2.280921 
252.287308 	 1.155119 	 -0.018140 	 -0.011623 	 0.240375 	 5.302921 	 2.282151 
253.272797 	 1.155768 	 -0.003822 	 -0.005461 	 0.160531 	 5.304175 	 2.282955 
254.258286 	 1.156201 	 0.010499 	 0.000703 	 0.080738 	 5.304439 	 2.283332 
255.243774 	 1.156419 	 0.024821 	 0.006868 	 0.001011 	 5.303715 	 2.283283 
256.229279 	 1.156422 	 0.039141 	 0.013033 	 -0.078636 	 5.302005 	 2.282810 
257.214752 	 1.156210 	 0.053456 	 0.019197 	 -0.158190 	 5.299312 	 2.281914 
258.200256 	 1.155783 	 0.067765 	 0.025358 	 -0.237638 	 5.295639 	 2.280594 
259.185730 	 1.155141 	 0.082063 	 0.031516 	 -0.316966 	 5.290988 	 2.278854 
260.171234 	 1.154285 	 0.096349 	 0.037668 	 -0.396160 	 5.285362 	 2.276693 
261.156708 	 1.153216 	 0.110619 	 0.043815 	 -0.475208 	 5.278764 	 2.274114 
262.142212 	 1.151932 	 0.124872 	 0.049956 	 -0.554095 	 5.271197 	 2.271117 
263.127686 	 1.150436 	 0.139104 	 0.056088 	 -0.632809 	 5.262664 	 2.267703 
